,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type_x,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,property_type,room_type_y,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,LSOA11CD
1642,715146591000919246,Condo in Bristol City · ★4.71 · 1 bedroom · 1 bed · 1 bath,39256953,Alex,,Redland,51.47402,-2.59874,Entire home/apt,120.0,3,7,2023-04-10,0.47,1,265,3,,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],E01014666
1643,715202106389232852,Home in Saint Werburgh's · 2 bedrooms · 2 beds · 1.5 baths,15580753,Rollo,,Ashley,51.47039,-2.57776,Entire home/apt,,4,0,,,1,0,0,,Entire home,Entire home/apt,4,,1.5 baths,,2.0,[],E01014485
1644,715219475913196745,Condo in Clifton · ★4.93 · 2 bedrooms · 4 beds · 2 baths,445795769,Gavin,,Clifton,51.46068,-2.62352,Entire home/apt,206.0,2,41,2023-12-21,2.82,1,347,34,,Entire condo,Entire home/apt,4,,2 baths,,4.0,[],E01014544
1645,717095098202139833,Rental unit in Bristol City · Studio · 1 bed · 1 bath,65192629,Hopewell,,Central,51.45448,-2.6004,Entire home/apt,77.0,1,1,2023-12-08,1.0,160,163,1,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01014542
1646,717363528625632816,Home in Saint Andrew's · 1 bedroom · 1 bed · 1 shared bath,427895929,Shan,,Ashley,51.47102,-2.58586,Private room,139.0,1,1,2022-09-18,0.06,8,365,0,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014487
1647,718791314592080993,Home in Bristol City · ★4.83 · 2 bedrooms · 2 beds · 1 bath,14939735,Tim,,Central,51.46375,-2.59125,Entire home/apt,178.0,2,23,2023-08-28,1.57,2,324,13,,Entire home,Entire home/apt,4,,1 bath,,2.0,[],E01033367
1648,719306013157139044,Condo in Southville · ★5.0 · 1 bedroom · 1 bed · 1 bath,127495222,Jordan,,Southville,51.44212,-2.61199,Entire home/apt,,2,13,2023-06-04,0.86,1,0,11,,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],E01014699
1649,720066202272858899,Condo in Totterdown · ★5.0 · 1 bedroom · 1 bed · 1 bath,16158377,H,,Windmill Hill,51.44258,-2.57827,Entire home/apt,,2,7,2023-02-20,0.47,1,0,1,,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],E01014730
1650,720762311098743204,Serviced apartment in Redcliffe · ★4.46 · 1 bedroom · 2 beds · 1 bath,125651447,Your Apartment,,Central,51.44706,-2.59445,Entire home/apt,120.0,1,13,2023-11-12,0.86,57,311,10,,Entire serviced apartment,Entire home/apt,4,,1 bath,,2.0,[],E01014540
1651,721040103253683243,Home in Lockleaze · ★4.67 · 3 bedrooms · 3 beds · 2 baths,26514210,Amy,,Lockleaze,51.48126101439461,-2.5747600147499106,Entire home/apt,110.0,4,3,2023-08-28,0.39,1,316,3,,Entire home,Entire home/apt,7,,2 baths,,3.0,[],E01014664
1652,721051570694750550,Serviced apartment in Bristol City · 2 bedrooms · 2 beds · 1 bath,154152507,Prescott Apartments,,Cotham,51.4643,-2.59808,Entire home/apt,120.0,15,0,,,21,354,0,,Entire serviced apartment,Entire home/apt,4,,1 bath,,2.0,[],E01014557
1653,721063700688090695,Serviced apartment in Bristol City · ★4.40 · 2 bedrooms · 2 beds · 1 bath,154152507,Prescott Apartments,,Cotham,51.46469,-2.5973,Entire home/apt,126.0,2,5,2023-12-15,0.34,21,207,3,,Entire serviced apartment,Entire home/apt,4,,1 bath,,2.0,[],E01014557
1654,722284410473332295,Rental unit in Bristol City · ★4.54 · 1 bedroom · 1 bed · 1 bath,45339093,Ali,,Ashley,51.46659482516089,-2.58003619206542,Entire home/apt,63.0,4,28,2023-12-07,1.95,4,80,26,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01014486
1655,722910002753482637,Condo in Ashton Gate · ★4.69 · 1 bedroom · 2 beds · 1 bath,119487206,Jay,,Southville,51.44238,-2.6183,Entire home/apt,78.0,2,54,2023-10-22,3.65,1,337,45,,Entire condo,Entire home/apt,4,,1 bath,,2.0,[],E01014695
1656,723046207215838458,Home in Bedminster · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,24726250,Lucy,,Southville,51.44228,-2.59773,Private room,,2,3,2023-09-29,0.2,3,0,2,,Private room in home,Private room,1,,1.5 shared baths,,1.0,[],E01033359
1657,723638771989966385,Condo in Westbury on Trym · ★5.0 · 1 bedroom · 1 bed · 1 bath,89635640,Sian,,Westbury-on-Trym & Henleaze,51.48993,-2.6166,Entire home/apt,,5,4,2023-03-24,0.32,1,0,3,,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],E01014719
1658,724301293309857885,Condo in Bristol City · ★4.91 · 3 bedrooms · 4 beds · 1 bath,370595173,Zunetta,,Cotham,51.463210199001296,-2.5923638798509905,Entire home/apt,184.0,2,32,2023-12-20,2.31,1,104,27,,Entire condo,Entire home/apt,7,,1 bath,,4.0,[],E01033367
1659,725183453425930327,Serviced apartment in Clifton · 2 bedrooms · 2 beds · 1 bath,201996822,Samuel(BH),,Clifton Down,51.46425,-2.61757,Entire home/apt,145.0,1,0,,,4,52,0,,Entire serviced apartment,Entire home/apt,3,,1 bath,,2.0,[],E01014552
1660,725915047686324639,Rental unit in Bristol City · ★4.25 · 1 bedroom · 1 bed · 1 bath,45339093,Ali,,Ashley,51.46565,-2.57912,Entire home/apt,59.0,4,12,2023-07-01,0.93,4,89,11,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01014486
1661,726058067834986966,Condo in Bristol · ★4.93 · 3 bedrooms · 3 beds · 2 baths,236481623,Bespoke Cultural Escapes,,Southville,51.44244,-2.61371,Entire home/apt,127.0,2,79,2023-12-08,6.12,47,0,76,,Entire condo,Entire home/apt,6,,2 baths,,3.0,[],E01014695
1662,726515749988163211,Rental unit in Bristol City · ★4.60 · 1 bedroom · 1 bed · 1 bath,65192629,Hopewell,,Central,51.45248,-2.59732,Entire home/apt,93.0,1,5,2023-12-11,0.48,160,339,5,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01033345
1663,728790117253395680,Home in Bristol City · ★4.80 · 3 bedrooms · 3 beds · 1 bath,150734603,Crissi,,Horfield,51.50089,-2.59069,Entire home/apt,,2,5,2023-06-04,0.48,3,0,5,,Entire home,Entire home/apt,6,,1 bath,,3.0,[],E01014631
1664,729436476948154997,Serviced apartment in Clifton · ★4.88 · 4 bedrooms · 4 beds · 2 baths,482022953,Lucy,,Clifton Down,51.468515,-2.613881,Entire home/apt,306.0,2,49,2023-12-03,3.48,1,0,43,,Entire serviced apartment,Entire home/apt,8,,2 baths,,4.0,[],E01014553
1665,729457024950483147,Home in Bristol City · ★4.75 · 5 bedrooms · 9 beds · 5 baths,482025947,Alison,,Stoke Bishop,51.47598319999999,-2.6294162,Entire home/apt,300.0,3,12,2023-12-18,0.99,1,281,12,,Entire home,Entire home/apt,11,,5 baths,,9.0,[],E01014709
1666,729595369935536886,Bed and breakfast in Southville · ★5.0 · 1 bedroom · 1 bed · 1 private bath,40812330,Jane,,Southville,51.4420446,-2.6126613,Private room,80.0,1,9,2023-10-13,0.72,1,363,8,,Private room in bed and breakfast,Private room,2,,1 private bath,,1.0,[],E01014699
1667,730148622202513679,Home in Bristol City · ★4.75 · 2 bedrooms · 2 beds · 1 bath,16630323,Matt,,Stockwood,51.41349,-2.55433,Entire home/apt,145.0,3,3,2023-10-30,0.45,17,0,3,,Entire home,Entire home/apt,4,,1 bath,,2.0,[],E01014704
1668,730305993207161464,Rental unit in Bristol City · ★4.22 · 1 bedroom · 1 bed · 1 bath,45339093,Ali,,Ashley,51.46725,-2.58072,Entire home/apt,62.0,3,26,2023-12-11,1.86,4,0,22,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01014486
1669,731667942302398706,Condo in Redland · ★4.74 · Studio · 1 bed · 1 bath,42316654,Emma,,Cotham,51.46889,-2.60589,Entire home/apt,90.0,2,38,2023-12-10,2.66,1,20,33,,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],E01014560
1670,731683296842495805,Rental unit in Montpelier · ★4.65 · 1 bedroom · 1 bed · 1 bath,45339093,Ali,,Ashley,51.4665854,-2.5800574,Entire home/apt,59.0,3,20,2023-11-21,1.63,4,86,19,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],E01014486
1671,731723125814705732,Home in Bristol City · ★4.98 · 3 bedrooms · 3 beds · 1 bath,267411486,Lucy,,Hengrove & Whitchurch Park,51.41231,-2.56547,Entire home/apt,154.0,2,59,2023-12-03,4.34,1,262,52,,Entire home,Entire home/apt,6,,1 bath,,3.0,[],E01014610
1672,733947734833047116,Condo in Redland · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,96325265,Host,,Clifton Down,51.46659,-2.60918,Private room,35.0,1,24,2023-12-09,2.12,2,25,24,,Private room in condo,Private room,1,,1 shared bath,,1.0,[],E01014560
1673,734673587161499459,Home in Bishopston · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,58161343,Michael,,Bishopston & Ashley Down,51.48044,-2.58223,Private room,57.0,1,4,2023-08-12,0.28,1,362,3,,Private room in home,Private room,2,,1 shared bath,,1.0,[],E01014509
1674,736219777548314365,Home in Bristol City · ★4.86 · 3 bedrooms · 3 beds · 1 bath,392784181,Hannah,,Avonmouth & Lawrence Weston,51.49171,-2.64756,Entire home/apt,216.0,1,21,2023-11-12,1.57,2,69,19,,Entire home,Entire home/apt,6,,1 bath,,3.0,[],E01014644
1675,736742640808598023,Home in Brislington · ★4.73 · 3 bedrooms · 4 beds · 1.5 baths,316351487,Bex,,Brislington West,51.43733,-2.5527,Entire home/apt,125.0,2,48,2023-12-04,3.53,2,145,39,,Entire home,Entire home/apt,6,,1.5 baths,,4.0,[],E01014533
1676,736846149799172004,Home in Bristol City · ★4.42 · 3 bedrooms · 6 beds · 1 bath,389808641,Regal,,Lockleaze,51.4847,-2.56756,Entire home/apt,214.0,2,23,2023-12-10,1.66,3,0,21,,Entire home,Entire home/apt,12,,1 bath,,6.0,[],E01014664
1677,737445744182387373,Place to stay in Bristol City · ★4.83 · 1 bedroom · 2 beds · Shared half-bath,20999681,Artemis,,Ashley,51.47489,-2.57648,Private room,48.0,2,35,2023-12-11,2.52,3,122,30,,Private room,Private room,4,,Shared half-bath,,2.0,[],E01014491
1678,737720118035595204,Condo in Redcliffe · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,314174485,Monica,,Central,51.45074,-2.58915,Private room,56.0,2,4,2023-12-03,0.57,2,364,4,,Private room in condo,Private room,2,,1.5 baths,,1.0,[],E01033355
1679,738533103321526212,Condo in Cotham · ★3.89 · 1 bedroom · 1 bed · 1.5 baths,2908382,GregandClare,,Cotham,51.46541,-2.59211,Entire home/apt,120.0,3,9,2023-12-11,1.37,4,365,9,,Entire condo,Entire home/apt,2,,1.5 baths,,1.0,[],E01014563
1680,739524466160446305,Home in Henleaze · ★4.96 · 1 bedroom · 1 bed · 1 private bath,427041288,Jane,,Westbury-on-Trym & Henleaze,51.4859133,-2.6053593,Private room,53.0,1,24,2023-12-10,1.82,1,355,20,,Private room in home,Private room,1,,1 private bath,,1.0,[],E01014615
1681,739798486555850862,Townhouse in Bedminster · ★5.0 · 2 bedrooms · 2 beds · 1 bath,483983742,Debs,,Bedminster,51.4387084,-2.6079271,Entire home/apt,,2,10,2023-12-03,0.94,1,0,10,,Entire townhouse,Entire home/apt,4,,1 bath,,2.0,[],E01014505
1682,740611686464619685,Home in Kingswood · 2 bedrooms · 2 beds · 2 baths,72498569,Ellie,,St George Central,51.4664315,-2.5208694,Entire home/apt,,2,2,2022-12-05,0.14,1,0,0,,Entire home,Entire home/apt,4,,2 baths,,2.0,[],E01014674
1683,741753252684183028,Home in Bristol City · ★5.0 · 2 bedrooms · 2 beds · 2 baths,12753868,Ross,,Bishopston & Ashley Down,51.48581,-2.58158,Entire home/apt,160.0,2,5,2023-10-08,0.56,1,111,5,,Entire home,Entire home/apt,4,,2 baths,,2.0,[],E01014510
1684,741880043493666940,Home in Ashton Gate · 3 bedrooms · 5 beds · 2 baths,19404394,Robert,,Southville,51.44161,-2.61722,Entire home/apt,150.0,5,1,2022-11-29,0.08,3,328,0,,Entire home,Entire home/apt,3,,2 baths,,5.0,[],E01014695
